Customer ID,Age,Gender,Category,Purchase Amount (USD),Payment Method,Review Rating,Discount Applied,Month,Location,Purchase History
179,47,Female,Grocery,810.7,PayPal,3.9,Yes,March,Kolkata,New
180,44,Female,Sports,910.46,Credit Card,1.6,No,January,Chennai,Returning
181,41,Female,Sports,651.74,PayPal,4.5,Yes,March,Delhi,Returning
182,45,Female,Home,1851.14,UPI,4.2,Yes,February,Delhi,New
183,19,Male,Home,1887.56,Cash on Delivery,2.3,No,February,Pune,Frequent
184,57,Male,Books,125.85,UPI,3.3,No,April,Pune,Frequent
185,30,Female,Electronics,850.0,UPI,2.7,Yes,August,Vijayawada,Returning
186,24,Female,Electronics,487.35,UPI,2.1,No,January,Bengaluru,Frequent
187,56,Male,Home,1265.06,UPI,3.0,Yes,August,Hyderabad,Returning
188,38,Female,Electronics,1498.82,Credit Card,3.0,Yes,November,Chennai,New
189,23,Male,Toys,1030.78,PayPal,2.2,No,April,Delhi,Frequent
190,54,Female,Grocery,1116.79,PayPal,4.7,No,April,Chennai,New
191,36,Male,Clothing,1837.62,PayPal,3.8,Yes,October,Kolkata,Returning
192,24,Male,Home,911.8,PayPal,2.9,Yes,December,Hyderabad,Frequent
193,53,Female,Books,1673.32,Cash on Delivery,1.4,Yes,March,Vijayawada,Frequent
194,53,Female,Electronics,1326.77,UPI,2.8,Yes,October,Vijayawada,New
195,20,Male,Toys,881.78,PayPal,4.5,Yes,April,Chennai,New
196,47,Female,Books,723.8,Debit Card,3.8,No,December,Pune,New
197,31,Male,Sports,129.26,PayPal,3.0,No,May,Chennai,New
198,28,Female,Electronics,868.55,UPI,2.5,No,February,Delhi,New
199,46,Female,Sports,1477.48,Cash on Delivery,1.2,Yes,May,Vijayawada,Returning
200,49,Male,Clothing,522.47,PayPal,1.1,No,November,Delhi,Frequent
201,47,Male,Sports,520.99,PayPal,1.7,Yes,April,Chennai,Returning
202,36,Female,Books,1449.52,UPI,3.5,Yes,March,Delhi,Returning
203,43,Male,Books,1224.36,PayPal,3.1,Yes,January,Bengaluru,Returning
204,26,Male,Beauty,1688.19,Cash on Delivery,1.7,Yes,September,Bengaluru,New
205,36,Female,Electronics,1127.48,Credit Card,1.5,Yes,October,Mumbai,Returning
206,42,Female,Beauty,800.1,PayPal,3.6,Yes,July,Bengaluru,Returning
207,23,Female,Electronics,1534.98,Cash on Delivery,2.0,Yes,July,Hyderabad,Frequent
208,24,Female,Sports,1815.28,UPI,3.0,Yes,June,Bengaluru,Frequent
209,36,Female,Sports,264.36,UPI,3.0,Yes,December,Delhi,Returning
210,26,Female,Books,252.51,Debit Card,4.6,No,October,Kolkata,Returning
211,22,Female,Home,1723.73,PayPal,4.0,No,December,Chennai,New
212,42,Male,Home,681.65,Cash on Delivery,4.6,Yes,May,Vijayawada,Returning
213,28,Male,Toys,474.77,PayPal,3.3,No,June,Kolkata,Returning
214,50,Male,Grocery,853.93,Credit Card,5.0,No,June,Mumbai,Frequent
215,23,Female,Home,817.39,UPI,2.5,No,June,Kolkata,Frequent
216,23,Male,Electronics,1438.42,Cash on Delivery,4.5,Yes,November,Bengaluru,Frequent
217,34,Male,Toys,1513.05,Cash on Delivery,1.3,Yes,April,Pune,Frequent
218,39,Female,Home,408.59,Cash on Delivery,1.8,Yes,October,Chennai,Returning
219,22,Female,Beauty,1804.77,UPI,1.5,Yes,September,Pune,Frequent
220,26,Female,Clothing,1532.73,Cash on Delivery,2.8,No,March,Pune,Returning
221,39,Male,Clothing,1280.03,Debit Card,4.8,Yes,September,Hyderabad,Returning
222,56,Male,Electronics,1921.31,Debit Card,3.4,Yes,June,Mumbai,Frequent
223,22,Female,Home,1863.51,UPI,1.3,No,April,Mumbai,Frequent
224,51,Male,Home,129.14,Credit Card,2.9,Yes,June,Delhi,Returning
225,34,Female,Home,1850.3,UPI,4.4,Yes,October,Kolkata,Returning
226,38,Male,Books,26.49,Debit Card,2.6,Yes,February,Kolkata,Frequent
227,42,Male,Electronics,182.27,UPI,3.6,Yes,December,Mumbai,Frequent
228,20,Male,Grocery,850.46,UPI,3.0,Yes,December,Mumbai,New
229,29,Female,Clothing,357.22,Credit Card,3.8,No,April,Kolkata,Returning
230,23,Female,Electronics,1144.78,Credit Card,4.6,Yes,August,Mumbai,Frequent
231,22,Male,Grocery,1463.13,PayPal,2.1,Yes,July,Bengaluru,New
232,43,Female,Electronics,951.5,Debit Card,1.1,No,July,Bengaluru,New
233,36,Male,Beauty,965.29,Credit Card,4.4,No,June,Hyderabad,Frequent
234,38,Female,Toys,1434.6,Credit Card,3.9,Yes,June,Hyderabad,New
235,22,Female,Beauty,1321.65,Cash on Delivery,3.5,Yes,August,Chennai,Returning
236,60,Female,Books,886.59,UPI,4.9,No,March,Chennai,Returning
237,41,Male,Sports,957.54,Debit Card,2.4,Yes,April,Vijayawada,Frequent
238,21,Male,Home,1000.3,Credit Card,2.0,Yes,September,Chennai,Frequent
239,50,Female,Sports,1199.07,Credit Card,2.1,No,March,Hyderabad,New
240,18,Male,Sports,536.43,Debit Card,4.9,Yes,April,Kolkata,Frequent
241,27,Female,Grocery,90.94,Cash on Delivery,4.5,Yes,April,Vijayawada,Returning
242,35,Male,Grocery,1101.77,Cash on Delivery,1.3,No,July,Chennai,Frequent
243,34,Male,Clothing,678.48,Credit Card,3.7,Yes,December,Chennai,New
244,43,Male,Toys,677.65,UPI,3.7,No,August,Mumbai,Frequent
245,26,Female,Clothing,764.96,Cash on Delivery,4.0,No,March,Vijayawada,Frequent
246,18,Female,Sports,1069.35,UPI,4.9,No,October,Vijayawada,Frequent
247,52,Male,Sports,441.78,PayPal,1.9,Yes,September,Bengaluru,New
248,60,Male,Books,1129.48,UPI,3.7,No,July,Hyderabad,New
249,59,Female,Beauty,290.82,Credit Card,3.5,No,October,Hyderabad,Frequent
250,18,Male,Home,574.11,UPI,5.0,Yes,March,Mumbai,New
251,18,Male,Sports,532.17,PayPal,2.8,Yes,April,Delhi,New
252,34,Female,Beauty,1531.86,UPI,1.7,Yes,August,Bengaluru,Frequent
253,19,Female,Grocery,408.1,Credit Card,3.4,No,January,Chennai,Frequent
254,34,Female,Clothing,624.48,Cash on Delivery,4.4,Yes,November,Chennai,Returning
255,20,Male,Electronics,799.42,PayPal,2.6,No,February,Vijayawada,Frequent
256,35,Female,Grocery,705.14,Cash on Delivery,2.7,No,December,Vijayawada,Frequent
257,23,Female,Sports,1792.17,PayPal,3.7,No,June,Mumbai,New
258,32,Female,Beauty,38.3,Credit Card,2.1,No,March,Kolkata,Frequent
259,44,Female,Books,519.78,Cash on Delivery,2.8,Yes,August,Bengaluru,Returning
260,35,Male,Sports,1516.84,Cash on Delivery,3.4,Yes,October,Vijayawada,New
261,59,Male,Books,987.32,Cash on Delivery,2.2,No,January,Kolkata,New
262,40,Female,Clothing,285.11,Cash on Delivery,5.0,No,April,Delhi,Frequent
263,47,Female,Beauty,1361.59,PayPal,3.0,No,August,Hyderabad,Returning
264,31,Female,Home,1650.23,Credit Card,3.3,Yes,October,Chennai,Frequent
265,39,Female,Toys,308.92,Cash on Delivery,4.4,Yes,April,Kolkata,Frequent
266,29,Male,Toys,1706.67,Debit Card,4.5,No,February,Hyderabad,Frequent
267,40,Male,Electronics,1082.92,Debit Card,1.9,No,April,Mumbai,New
268,52,Female,Grocery,804.99,UPI,4.6,No,April,Hyderabad,New
269,53,Male,Beauty,1886.62,Cash on Delivery,4.7,No,January,Bengaluru,Frequent
270,31,Male,Clothing,1645.94,Debit Card,4.1,No,August,Chennai,New
271,40,Male,Books,925.36,PayPal,1.5,Yes,November,Vijayawada,Returning
272,19,Female,Home,576.56,UPI,1.3,Yes,July,Kolkata,Frequent
273,31,Male,Home,1667.69,Credit Card,3.8,Yes,February,Bengaluru,Returning
274,24,Female,Toys,1693.63,PayPal,1.3,No,November,Bengaluru,New
275,41,Male,Home,439.86,Credit Card,4.4,Yes,June,Mumbai,Returning
276,51,Male,Home,710.32,Credit Card,2.3,Yes,November,Hyderabad,New
277,30,Female,Electronics,225.1,Debit Card,4.9,No,May,Bengaluru,New
278,36,Male,Toys,1117.66,Credit Card,3.8,No,September,Vijayawada,New
279,49,Male,Grocery,1142.15,UPI,1.3,No,January,Pune,New
280,54,Male,Books,1583.97,Cash on Delivery,3.9,No,December,Mumbai,New
281,19,Female,Beauty,1473.0,UPI,3.6,Yes,June,Bengaluru,New
282,33,Female,Beauty,276.26,PayPal,3.5,Yes,November,Pune,Frequent
283,54,Male,Books,1685.44,Cash on Delivery,2.0,Yes,January,Bengaluru,Frequent
284,20,Female,Clothing,1241.12,Credit Card,4.4,Yes,July,Kolkata,Returning
285,21,Male,Books,539.41,Credit Card,4.8,No,August,Pune,Returning
286,35,Male,Books,1031.87,UPI,3.9,Yes,January,Mumbai,Frequent
287,59,Female,Sports,1770.0,Credit Card,4.5,No,October,Chennai,Frequent
288,22,Male,Home,305.36,Debit Card,3.5,No,November,Kolkata,Frequent
289,59,Male,Electronics,1761.43,PayPal,4.3,Yes,May,Bengaluru,Frequent
290,34,Male,Clothing,1312.27,PayPal,3.5,No,November,Vijayawada,Frequent
291,53,Female,Clothing,382.5,Credit Card,1.3,No,July,Vijayawada,Returning
292,24,Male,Sports,1883.3,Cash on Delivery,1.6,No,July,Chennai,New
293,36,Male,Clothing,700.5,Cash on Delivery,1.8,Yes,December,Delhi,Frequent
294,50,Male,Home,1635.24,Debit Card,3.2,Yes,April,Hyderabad,Frequent
295,18,Female,Electronics,1921.17,UPI,2.6,No,June,Delhi,Returning
296,33,Male,Grocery,541.24,Cash on Delivery,3.8,Yes,April,Kolkata,Returning
297,20,Male,Clothing,1203.67,Cash on Delivery,1.4,Yes,September,Hyderabad,New
298,37,Male,Toys,885.57,UPI,1.8,No,April,Chennai,Returning
299,58,Female,Home,620.36,UPI,3.0,No,May,Kolkata,Frequent
300,35,Female,Sports,475.5,UPI,2.5,Yes,November,Hyderabad,Frequent
301,60,Male,Beauty,1255.5,PayPal,2.6,No,April,Bengaluru,New
302,20,Female,Grocery,788.18,PayPal,2.1,No,February,Hyderabad,New
303,40,Female,Home,259.93,Debit Card,2.8,Yes,December,Hyderabad,Frequent
304,57,Male,Beauty,571.14,Cash on Delivery,4.2,No,July,Vijayawada,New
305,32,Female,Home,1993.49,Cash on Delivery,3.6,Yes,July,Pune,Frequent
306,59,Male,Grocery,777.09,Debit Card,2.1,Yes,December,Kolkata,Returning
307,19,Male,Sports,1093.09,Debit Card,4.9,Yes,October,Kolkata,Frequent
308,35,Male,Home,514.57,Debit Card,4.1,Yes,December,Bengaluru,Frequent
309,20,Female,Home,1109.33,PayPal,2.9,No,September,Bengaluru,Frequent
310,34,Female,Electronics,210.14,UPI,3.9,No,July,Pune,New
311,25,Female,Home,1081.37,Credit Card,1.8,No,May,Bengaluru,Frequent
312,40,Male,Electronics,1645.4,UPI,4.5,No,June,Vijayawada,Frequent
313,33,Male,Clothing,914.87,PayPal,4.9,Yes,September,Delhi,Returning
314,50,Male,Home,1060.5,Cash on Delivery,3.6,Yes,March,Hyderabad,Frequent
315,60,Female,Sports,1731.2,UPI,3.9,No,December,Delhi,Frequent
316,40,Female,Electronics,1632.68,Debit Card,3.8,No,June,Kolkata,Frequent
317,38,Female,Books,1320.7,Debit Card,2.8,No,September,Delhi,New
318,50,Female,Books,1350.84,Debit Card,4.3,No,January,Mumbai,Frequent
319,25,Female,Grocery,797.67,Cash on Delivery,3.1,Yes,February,Mumbai,Returning
320,25,Male,Books,638.86,Credit Card,2.6,Yes,August,Hyderabad,Returning
321,36,Female,Sports,1165.19,UPI,1.3,No,January,Delhi,Frequent
322,37,Female,Beauty,379.07,Debit Card,1.7,No,December,Kolkata,Returning
323,57,Female,Electronics,166.7,UPI,1.2,Yes,May,Bengaluru,Returning
324,33,Female,Electronics,1464.39,Cash on Delivery,2.3,No,December,Hyderabad,Returning
325,59,Male,Beauty,173.48,Cash on Delivery,4.7,No,May,Pune,Frequent
326,54,Female,Clothing,1672.64,PayPal,2.7,No,June,Delhi,New
327,52,Male,Electronics,769.54,Debit Card,4.0,Yes,November,Chennai,New
328,30,Female,Sports,566.23,Credit Card,2.0,Yes,March,Chennai,Frequent
329,54,Female,Toys,602.95,Debit Card,3.1,No,May,Bengaluru,Frequent
330,40,Female,Home,208.26,Cash on Delivery,1.1,Yes,September,Mumbai,Returning
331,25,Female,Electronics,1123.79,Debit Card,1.4,Yes,July,Kolkata,Frequent
332,50,Female,Electronics,1784.48,PayPal,1.9,No,June,Chennai,New
333,49,Female,Electronics,1840.66,UPI,2.1,Yes,October,Mumbai,New
334,49,Male,Books,1595.95,Credit Card,1.2,No,December,Vijayawada,New
335,56,Female,Beauty,646.49,UPI,3.9,Yes,August,Delhi,Frequent
336,22,Male,Clothing,1589.18,Credit Card,4.4,No,June,Vijayawada,Returning
337,24,Male,Beauty,42.08,UPI,1.6,Yes,December,Bengaluru,New
338,25,Male,Sports,28.25,PayPal,2.6,Yes,May,Bengaluru,Returning
339,38,Male,Clothing,707.99,PayPal,4.6,Yes,December,Hyderabad,Frequent
340,46,Female,Electronics,833.01,Credit Card,3.8,Yes,April,Pune,New
341,52,Female,Toys,850.13,UPI,2.2,No,April,Hyderabad,New
342,37,Male,Grocery,296.83,PayPal,2.9,No,May,Vijayawada,Returning
343,27,Male,Clothing,355.94,Debit Card,4.8,Yes,January,Bengaluru,Returning
344,56,Male,Sports,702.82,Debit Card,4.4,Yes,October,Vijayawada,New
